step,train_loss,val_loss,val_ppl,gap,lambda
100,6.1710,6.1285,458.73,-0.042,0.0100
200,5.7633,5.7095,301.72,-0.054,0.0100
300,5.3293,5.3314,206.73,+0.002,0.0100
400,5.0808,5.0699,159.16,-0.011,0.0100
500,5.1728,4.8948,133.59,-0.278,0.0099
600,4.7988,4.7668,117.55,-0.032,0.0100
700,4.7429,4.6490,104.48,-0.094,0.0097
800,4.4969,4.5508,94.71,+0.054,0.0100
900,4.6366,4.4930,89.39,-0.144,0.0034
1000,4.3452,4.3997,81.42,+0.054,0.0099
