step,train_loss,val_loss,val_ppl,gap,lambda
100,6.3707,6.1324,460.53,-0.238,0.0100
200,5.9237,5.7297,307.87,-0.194,0.0100
300,5.4001,5.3548,211.62,-0.045,0.0100
400,5.0526,5.0896,162.33,+0.037,0.0100
500,4.6865,4.9099,135.62,+0.223,0.0100
600,5.0282,4.7710,118.04,-0.257,0.0100
700,4.8165,4.6648,106.15,-0.152,0.0100
800,4.7254,4.5701,96.55,-0.155,0.0100
900,4.5144,4.4766,87.94,-0.038,0.0100
1000,4.5168,4.3971,81.21,-0.120,0.0100
