ConvASH30 参数量: 29.55M
加载预训练缓存...
样本数: 1270225, batch=32, steps=39695
PT 27250/39695 loss=3.679 (17801s, 653ms/step)
PT 27500/39695 loss=3.816 (17964s, 653ms/step)
PT 27750/39695 loss=3.613 (18137s, 654ms/step)
PT 28000/39695 loss=3.584 (18308s, 654ms/step)
PT 28250/39695 loss=3.498 (18489s, 654ms/step)
PT 28500/39695 loss=3.823 (18654s, 655ms/step)
PT 28750/39695 loss=3.778 (18838s, 655ms/step)
PT 29000/39695 loss=3.726 (19004s, 655ms/step)
PT 29250/39695 loss=3.784 (19186s, 656ms/step)
PT 29500/39695 loss=3.574 (19356s, 656ms/step)
PT 29750/39695 loss=3.644 (19537s, 657ms/step)
PT 30000/39695 loss=3.564 (19712s, 657ms/step)
PT 30250/39695 loss=3.488 (19886s, 657ms/step)
PT 30500/39695 loss=3.396 (20056s, 658ms/step)
PT 30750/39695 loss=3.588 (20234s, 658ms/step)
PT 31000/39695 loss=3.573 (20402s, 658ms/step)
PT 31250/39695 loss=3.637 (20573s, 658ms/step)
PT 31500/39695 loss=3.540 (20741s, 658ms/step)
PT 31750/39695 loss=3.784 (20920s, 659ms/step)
PT 32000/39695 loss=3.760 (21083s, 659ms/step)
PT 32250/39695 loss=3.462 (21257s, 659ms/step)
PT 32500/39695 loss=3.547 (21429s, 659ms/step)
PT 32750/39695 loss=3.557 (21599s, 660ms/step)
PT 33000/39695 loss=3.403 (21759s, 659ms/step)
PT 33250/39695 loss=3.626 (21910s, 659ms/step)
PT 33500/39695 loss=3.613 (22030s, 658ms/step)
PT 33750/39695 loss=3.453 (22149s, 656ms/step)
PT 34000/39695 loss=3.608 (22358s, 658ms/step)
PT 34250/39695 loss=3.969 (22523s, 658ms/step)
PT 34500/39695 loss=3.755 (22638s, 656ms/step)
PT 34750/39695 loss=3.712 (22774s, 655ms/step)
PT 35000/39695 loss=3.643 (23012s, 657ms/step)
PT 35250/39695 loss=3.569 (23173s, 657ms/step)
PT 35500/39695 loss=3.715 (23292s, 656ms/step)
PT 35750/39695 loss=3.396 (23414s, 655ms/step)
PT 36000/39695 loss=3.543 (23648s, 657ms/step)
PT 36250/39695 loss=3.629 (23828s, 657ms/step)
PT 36500/39695 loss=3.667 (23946s, 656ms/step)
PT 36750/39695 loss=3.903 (24062s, 655ms/step)
PT 37000/39695 loss=3.595 (24280s, 656ms/step)
PT 37250/39695 loss=3.482 (24481s, 657ms/step)
PT 37500/39695 loss=3.494 (24607s, 656ms/step)
PT 37750/39695 loss=3.902 (24726s, 655ms/step)
PT 38000/39695 loss=3.406 (24931s, 656ms/step)
PT 38250/39695 loss=3.490 (25144s, 657ms/step)
PT 38500/39695 loss=3.342 (25278s, 657ms/step)
PT 38750/39695 loss=3.458 (25427s, 656ms/step)
PT 39000/39695 loss=3.592 (25626s, 657ms/step)
PT 39250/39695 loss=3.434 (25813s, 658ms/step)
PT 39500/39695 loss=3.430 (26006s, 658ms/step)
预训练完成 26131s
加载 SFT 缓存...
SFT 样本数: 905718, steps=28304
